,#RIC,Date[G],Time[G],GMT Offset,Type,Ex/Cntrb.ID,Price,Volume,Buyer ID,Bid Price,Bid Size,No. Buyers,Seller ID,Ask Price,Ask Size,No. Sellers,Qualifiers,Exch Time
23611,HMb.ST,20090702,10:37:36.003571,2,Quote,,,,,,11117.0,,,,,,,
23612,HMb.ST,20090702,10:37:36.101333,2,Quote,,,,,,,,,,18528.0,,,
23613,HMb.ST,20090702,10:37:36.101333,2,Quote,,,,,,,,,387.0,7158.0,,,
23614,HMb.ST,20090702,10:37:36.123516,2,Quote,,,,,,9717.0,,,,,,,
23615,HMb.ST,20090702,10:37:36.176594,2,Quote,,,,,,,,,,7385.0,,,
23616,HMb.ST,20090702,10:37:36.176594,2,Quote,,,,,,8813.0,,,,,,,
23617,HMb.ST,20090702,10:37:36.176594,2,Quote,,,,,,9718.0,,,,,,,
23618,HMb.ST,20090702,10:37:36.236483,2,Quote,,,,,,,,,,7158.0,,,
23619,HMb.ST,20090702,10:37:36.949170,2,Quote,,,,,,10514.0,,,,,,,
23620,HMb.ST,20090702,10:37:37.175033,2,Quote,,,,,,10504.0,,,,,,,
23621,HMb.ST,20090702,10:37:37.175033,2,Quote,,,,,,9993.0,,,,,,,
23622,HMb.ST,20090702,10:37:40.246868,2,Quote,,,,,,8807.0,,,,,,,
23623,HMb.ST,20090702,10:37:40.957012,2,Quote,,,,,,7341.0,,,,,,,
23624,HMb.ST,20090702,10:37:43.641428,2,Quote,,,,,,,,,,21158.0,,,
23625,HMb.ST,20090702,10:37:43.641428,2,Quote,,,,,,6436.0,,,,,,,
23626,HMb.ST,20090702,10:37:43.641428,2,Quote,,,,,,,,,,22062.0,,,
23627,HMb.ST,20090702,10:37:44.266843,2,Quote,,,,,,6435.0,,,,,,,
23628,HMb.ST,20090702,10:37:44.266843,2,Quote,,,,,,5640.0,,,,,,,
23629,HMb.ST,20090702,10:37:45.542623,2,Quote,,,,,,6418.0,,,,,,,
23630,HMb.ST,20090702,10:37:48.958603,2,Quote,,,,,,6619.0,,,,,,,
23631,HMb.ST,20090702,10:37:50.038596,2,Quote,,,,,,,,,,21599.0,,,
23632,HMb.ST,20090702,10:37:57.886213,2,Quote,,,,,,6658.0,,,,,,,
23633,HMb.ST,20090702,10:38:05.722647,2,Quote,,,,,,,,,,22749.0,,,
23634,HMb.ST,20090702,10:38:11.040394,2,Quote,,,,,,,,,,23340.0,,,
23635,HMb.ST,20090702,10:38:15.670216,2,Quote,,,,,,,,,,22899.0,,,
23636,HMb.ST,20090702,10:38:15.723876,2,Quote,,,,,,7658.0,,,,,,,
23637,HMb.ST,20090702,10:38:30.074298,2,Quote,,,,,,,,,,24524.0,,,
23638,HMb.ST,20090702,10:38:36.195979,2,Quote,,,,,,,,,,26612.0,,,
23639,HMb.ST,20090702,10:38:40.322386,2,Quote,,,,,,,,,,24524.0,,,
23640,HMb.ST,20090702,10:38:41.697134,2,Quote,,,,,,7558.0,,,,,,,
23641,HMb.ST,20090702,10:38:41.697134,2,Quote,,,,,,7418.0,,,,,,,
23642,HMb.ST,20090702,10:38:41.697134,2,Quote,,,,,,2418.0,,,,,,,
23643,HMb.ST,20090702,10:38:41.697134,2,Quote,,,,,,7418.0,,,,,,,
23644,HMb.ST,20090702,10:38:41.697134,2,Quote,,,,,,7018.0,,,,,,,
23645,HMb.ST,20090702,10:38:41.697134,2,Quote,,,,,,6845.0,,,,,,,
23646,HMb.ST,20090702,10:38:41.697134,2,Trade,,386.5,100.0,AVA ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:38:41.000
23647,HMb.ST,20090702,10:38:41.697134,2,Trade,,386.5,140.0,NON ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:38:41.000
23648,HMb.ST,20090702,10:38:41.736873,2,Trade,,386.5,5000.0,NDS ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:38:41.000
23649,HMb.ST,20090702,10:38:41.736873,2,Trade,,386.5,400.0,TMB ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:38:41.000
23650,HMb.ST,20090702,10:38:41.736873,2,Trade,,386.5,173.0,HCT ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:38:41.000
23651,HMb.ST,20090702,10:38:41.881020,2,Quote,,,,,,6240.0,,,,,,,
23652,HMb.ST,20090702,10:38:41.881020,2,Quote,,,,,,6045.0,,,,,,,
23653,HMb.ST,20090702,10:38:41.881020,2,Trade,,386.5,605.0,HCT ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:38:41.000
23654,HMb.ST,20090702,10:38:41.881020,2,Trade,,386.5,195.0,NIP ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:38:41.000
23655,HMb.ST,20090702,10:38:41.932175,2,Quote,,,,,,6039.0,,,,,,,
23656,HMb.ST,20090702,10:38:41.932175,2,Quote,,,,,,6000.0,,,,,,,
23657,HMb.ST,20090702,10:38:41.932175,2,Quote,,,,,,5636.0,,,,,,,
23658,HMb.ST,20090702,10:38:41.933929,2,Trade,,386.5,6.0,NIP ,,,,DBL ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:38:41.000
23659,HMb.ST,20090702,10:38:41.933929,2,Trade,,386.5,39.0,NIP ,,,,DBL ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:38:41.000
23660,HMb.ST,20090702,10:38:41.933929,2,Trade,,386.5,364.0,IMC ,,,,DBL ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:38:41.000
23661,HMb.ST,20090702,10:38:52.364981,2,Quote,,,,,,,,,,26786.0,,,
23662,HMb.ST,20090702,10:39:11.612465,2,Quote,,,,,,,,,,27586.0,,,
23663,HMb.ST,20090702,10:39:16.873311,2,Quote,,,,,,6636.0,,,,,,,
23664,HMb.ST,20090702,10:39:21.643798,2,Quote,,,,,,,,,,27986.0,,,
23665,HMb.ST,20090702,10:39:31.718361,2,Quote,,,,,,6000.0,,,,,,,
23666,HMb.ST,20090702,10:39:31.718361,2,Quote,,,,,,5124.0,,,,,,,
23667,HMb.ST,20090702,10:39:31.718361,2,Trade,,386.5,636.0,IMC ,,,,ENS ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:39:31.000
23668,HMb.ST,20090702,10:39:31.718361,2,Trade,,386.5,876.0,NDS ,,,,ENS ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:39:31.000
23669,HMb.ST,20090702,10:39:37.604647,2,Quote,,,,,,,,,,28486.0,,,
23670,HMb.ST,20090702,10:39:39.431290,2,Quote,,,,,,1000.0,,,,,,,
23671,HMb.ST,20090702,10:39:39.431290,2,Quote,,,,,,6000.0,,,,,,,
23672,HMb.ST,20090702,10:39:39.431290,2,Quote,,,,,,5200.0,,,,,,,
23673,HMb.ST,20090702,10:39:39.431290,2,Trade,,386.5,4124.0,NDS ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:39:39.000
23674,HMb.ST,20090702,10:39:39.431290,2,Trade,,386.5,800.0,DBL ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:39:39.000
23675,HMb.ST,20090702,10:39:39.711005,2,Quote,,,,,,5000.0,,,,,,,
23676,HMb.ST,20090702,10:39:39.711005,2,Quote,,,,,,4400.0,,,,,,,
23677,HMb.ST,20090702,10:39:39.711005,2,Quote,,,,,,,,,,27686.0,,,
23678,HMb.ST,20090702,10:39:39.711005,2,Trade,,386.5,200.0,DBL ,,,,ENS ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:39:39.000
23679,HMb.ST,20090702,10:39:39.711005,2,Trade,,386.5,600.0,NDS ,,,,ENS ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:39:39.000
