Date,SPTSX
1992-06-12,3408
1992-06-15,3409.800049
1992-06-16,3407.300049
1992-06-17,3368.199951
1992-06-18,3357.199951
1992-06-19,3350.899902
1992-06-22,3340.699951
1992-06-23,3343
1992-06-24,3339.600098
1992-06-25,3338.600098
1992-06-26,3351.300049
1992-06-29,3375.800049
1992-06-30,3387.699951
1992-07-01,3387.699951
1992-07-02,3408.100098
1992-07-03,3420.100098
1992-07-06,3426.899902
1992-07-07,3416.300049
1992-07-08,3418.399902
1992-07-09,3439.800049
1992-07-10,3447.600098
1992-07-13,3449.199951
1992-07-14,3463.199951
1992-07-15,3472
1992-07-16,3475.600098
1992-07-17,3463
1992-07-20,3452.600098
1992-07-21,3425.199951
1992-07-22,3412.100098
1992-07-23,3412.199951
1992-07-24,3400.899902
1992-07-27,3396.5
1992-07-28,3411.5
1992-07-29,3424.600098
1992-07-30,3425.600098
1992-07-31,3443.399902
1992-08-03,3443.399902
1992-08-04,3426
1992-08-05,3406.199951
1992-08-06,3398.699951
1992-08-07,3406.300049
1992-08-10,3408.800049
1992-08-11,3404.699951
1992-08-12,3377.800049
1992-08-13,3360.5
1992-08-14,3368.5
1992-08-17,3379.800049
1992-08-18,3377.800049
1992-08-19,3385.5
1992-08-20,3403.699951
1992-08-21,3390.300049
1992-08-24,3380.800049
1992-08-25,3375.800049
1992-08-26,3383
1992-08-27,3392.600098
1992-08-28,3403
1992-08-31,3402.899902
1992-09-01,3407.600098
1992-09-02,3436.699951
1992-09-03,3453.199951
1992-09-04,3456.800049
1992-09-07,nan
1992-09-08,3452
1992-09-09,3449.100098
1992-09-10,3443.899902
1992-09-11,3440.600098
1992-09-14,3470.399902
1992-09-15,3464.100098
1992-09-16,3453.800049
1992-09-17,3446.100098
1992-09-18,3445
1992-09-21,3420
1992-09-22,3402.800049
1992-09-23,3404.399902
1992-09-24,3410.600098
1992-09-25,3385.5
1992-09-28,3368
1992-09-29,3327.199951
1992-09-30,3297.899902
1992-10-01,3275
1992-10-02,3231.100098
1992-10-05,3227.5
1992-10-06,3229.5
1992-10-07,3215.399902
1992-10-08,3237.199951
1992-10-09,3218.5
1992-10-12,3218.5
1992-10-13,3214.899902
1992-10-14,3195.399902
1992-10-15,3196.100098
1992-10-16,3207.699951
1992-10-19,3225.5
1992-10-20,3241.800049
1992-10-21,3252.600098
1992-10-22,3258.800049
1992-10-23,3246.800049
1992-10-26,3276
1992-10-27,3286.399902
1992-10-28,3334.699951
1992-10-29,3336
1992-10-30,3336.100098
1992-11-02,3379
1992-11-03,3361.600098
1992-11-04,3344.800049
1992-11-05,3339.800049
1992-11-06,3310.899902
1992-11-09,3293.800049
1992-11-10,3277.199951
1992-11-11,3286.399902
1992-11-12,3283.800049
1992-11-13,3269.5
1992-11-16,3236.399902
1992-11-17,3218.5
1992-11-18,3231.699951
1992-11-19,3233.699951
1992-11-20,3263.899902
1992-11-23,3258.300049
1992-11-24,3259.300049
1992-11-25,3260.399902
1992-11-26,3272.199951
1992-11-27,3276.5
1992-11-30,3282.800049
1992-12-01,3273.699951
1992-12-02,3265.300049
1992-12-03,3264.899902
1992-12-04,3289.399902
1992-12-07,3293.100098
1992-12-08,3290.899902
1992-12-09,3285.5
1992-12-10,3270.199951
1992-12-11,3267.5
1992-12-14,3262
1992-12-15,3264.600098
1992-12-16,3296.199951
1992-12-17,3304.300049
1992-12-18,3320.399902
1992-12-21,3310.399902
1992-12-22,3313.5
1992-12-23,3323.199951
1992-12-24,3319.899902
1992-12-25,nan
1992-12-28,3319.899902
1992-12-29,3314.899902
1992-12-30,3326.800049
1992-12-31,3350.399902
1993-01-01,nan
1993-01-04,3351
1993-01-05,3353.5
1993-01-06,3353
1993-01-07,3318.899902
1993-01-08,3311.800049
1993-01-11,3310.199951
1993-01-12,3314.5
1993-01-13,3298.300049
1993-01-14,3303.800049
1993-01-15,3306.600098
1993-01-18,3295.600098
1993-01-19,3288.100098
1993-01-20,3290.100098
1993-01-21,3275.800049
1993-01-22,3276
1993-01-25,3295.600098
1993-01-26,3312.800049
1993-01-27,3311.600098
1993-01-28,3307.899902
1993-01-29,3305.5
1993-02-01,3310.899902
1993-02-02,3321.800049
1993-02-03,3344
1993-02-04,3366.399902
1993-02-05,3377.899902
1993-02-08,3394.800049
1993-02-09,3414.100098
1993-02-10,3443
1993-02-11,3443.199951
1993-02-12,3445.600098
1993-02-15,3442.100098
1993-02-16,3410.5
1993-02-17,3417.699951
1993-02-18,3409.399902
1993-02-19,3426.300049
1993-02-22,3447.699951
1993-02-23,3452.800049
1993-02-24,3465.800049
1993-02-25,3459.899902
1993-02-26,3451.699951
1993-03-01,3432.699951
1993-03-02,3446.199951
1993-03-03,3467.199951
1993-03-04,3501.300049
1993-03-05,3524.5
1993-03-08,3551
1993-03-09,3553.199951
1993-03-10,3552
1993-03-11,3552.399902
1993-03-12,3548.100098
1993-03-15,3562.100098
1993-03-16,3556.800049
1993-03-17,3541
1993-03-18,3559.300049
