,#RIC,Date[G],Time[G],GMT Offset,Type,Ex/Cntrb.ID,Price,Volume,Buyer ID,Bid Price,Bid Size,No. Buyers,Seller ID,Ask Price,Ask Size,No. Sellers,Qualifiers,Exch Time
4112,NOKI.ST,20090701,09:00:00.402798,2,Quote,,,,,114.6,5000.0,,,,,,,
4113,NOKI.ST,20090701,09:00:09.340062,2,Quote,,,,,114.5,20589.0,,,,,,,
4114,NOKI.ST,20090701,09:00:09.481811,2,Quote,,,,,,,,,114.7,3000.0,,,
4115,NOKI.ST,20090701,09:00:10.260943,2,Quote,,,,,,,,,114.8,18458.0,,,
4116,NOKI.ST,20090701,09:00:10.403667,2,Quote,,,,,114.6,5000.0,,,,,,,
4117,NOKI.ST,20090701,09:00:12.240202,2,Quote,,,,,114.5,20589.0,,,,,,,
4118,NOKI.ST,20090701,09:00:14.337348,2,Quote,,,,,,,,,114.7,3000.0,,,
4119,NOKI.ST,20090701,09:00:17.192579,2,Quote,,,,,,,,,114.8,18458.0,,,
4120,NOKI.ST,20090701,09:00:17.321816,2,Quote,,,,,114.6,5000.0,,,,,,,
4121,NOKI.ST,20090701,09:00:18.341628,2,Quote,,,,,114.5,20589.0,,,,,,,
4122,NOKI.ST,20090701,09:00:18.554224,2,Quote,,,,,,,,,114.7,3000.0,,,
4123,NOKI.ST,20090701,09:00:18.836455,2,Quote,,,,,,,,,114.8,18458.0,,,
4124,NOKI.ST,20090701,09:00:23.444442,2,Quote,,,,,114.6,5000.0,,,,,,,
4125,NOKI.ST,20090701,09:00:26.912466,2,Quote,,,,,114.5,20589.0,,,,,,,
4126,NOKI.ST,20090701,09:00:28.147885,2,Quote,,,,,,,,,114.7,3000.0,,,
4127,NOKI.ST,20090701,09:00:31.542062,2,Quote,,,,,,,,,114.8,18458.0,,,
4128,NOKI.ST,20090701,09:00:31.637294,2,Quote,,,,,,,,,114.7,1410.0,,,
4129,NOKI.ST,20090701,09:00:39.416097,2,Quote,,,,,114.6,5000.0,,,,,,,
4130,NOKI.ST,20090701,09:00:39.523614,2,Quote,,,,,114.5,20589.0,,,,,,,
4131,NOKI.ST,20090701,09:00:40.275475,2,Quote,,,,,,35739.0,,,,,,,
4132,NOKI.ST,20090701,09:00:45.292414,2,Quote,,,,,,39739.0,,,,,,,
4133,NOKI.ST,20090701,09:00:45.292414,2,Quote,,,,,,24150.0,,,,,,,
4134,NOKI.ST,20090701,09:00:45.292414,2,Quote,,,,,114.6,4650.0,,,,,,,
4135,NOKI.ST,20090701,09:00:45.302669,2,Quote,,,,,114.5,20150.0,,,,,,,
4136,NOKI.ST,20090701,09:00:45.302669,2,Quote,,,,,,38915.0,,,,,,,
4137,NOKI.ST,20090701,09:00:45.320309,2,Quote,,,,,,41415.0,,,,,,,
4138,NOKI.ST,20090701,09:00:45.320309,2,Quote,,,,,,26265.0,,,,,,,
4139,NOKI.ST,20090701,09:00:45.320309,2,Quote,,,,,,32265.0,,,,,,,
4140,NOKI.ST,20090701,09:00:45.320309,2,Quote,,,,,,13500.0,,,,,,,
4141,NOKI.ST,20090701,09:00:45.345567,2,Quote,,,,,,11500.0,,,,,,,
4142,NOKI.ST,20090701,09:00:45.345567,2,Quote,,,,,114.6,5119.0,,,,,,,
4143,NOKI.ST,20090701,09:00:45.399575,2,Quote,,,,,,4672.0,,,,,,,
4144,NOKI.ST,20090701,09:00:45.453885,2,Quote,,,,,,3784.0,,,,,,,
4145,NOKI.ST,20090701,09:00:45.453885,2,Quote,,,,,,2894.0,,,,,,,
4146,NOKI.ST,20090701,09:00:45.453885,2,Quote,,,,,,2006.0,,,,,,,
4147,NOKI.ST,20090701,09:00:45.539065,2,Quote,,,,,,437.0,,,,,,,
4148,NOKI.ST,20090701,09:00:45.560767,2,Quote,,,,,114.5,9500.0,,,,,,,
4149,NOKI.ST,20090701,09:00:45.560767,2,Quote,,,,,,17138.0,,,,,,,
4150,NOKI.ST,20090701,09:00:45.592815,2,Quote,,,,,,24788.0,,,,,,,
4151,NOKI.ST,20090701,09:00:45.635873,2,Quote,,,,,,22760.0,,,,,,,
4152,NOKI.ST,20090701,09:00:45.635873,2,Quote,,,,,,21160.0,,,,,,,
4153,NOKI.ST,20090701,09:00:45.721856,2,Quote,,,,,,16160.0,,,,,,,
4154,NOKI.ST,20090701,09:00:45.758818,2,Quote,,,,,,14160.0,,,,,,,
4155,NOKI.ST,20090701,09:00:45.797116,2,Quote,,,,,,12160.0,,,,,,,
4156,NOKI.ST,20090701,09:00:45.904383,2,Quote,,,,,,4510.0,,,,,,,
4157,NOKI.ST,20090701,09:00:46.127358,2,Quote,,,,,,6510.0,,,,,,,
4158,NOKI.ST,20090701,09:00:47.397373,2,Quote,,,,,,4010.0,,,,,,,
4159,NOKI.ST,20090701,09:00:57.074489,2,Quote,,,,,,,,,114.8,2000.0,,,
4160,NOKI.ST,20090701,09:00:57.074489,2,Quote,,,,,,,,,,1210.0,,,
